case_id,surveytime,module_end,scales_first,self_first,condition,sex_submit,sex_clicks,gender_submit,gender_clicks,firstord_submit,firstord_clicks,thirdord_submit,thirdord_clicks,natenviy,natcrimy,nateducy,natarmsy,natsci,natfarey,discaffm,posslqy,wrkstat_fulltime,wrkstat_parttime,wrkstat_notatwork,wrkstat_unemployed,wrkstat_retired,wrkstat_school,wrkstat_keephouse,wrkstat_other,wrkstat_other_text,weekswrk,fear_sa,fear_ipv,fear_aqnt,fear_strn,fear_murd,protect_alarm,protect_firearm,protect_knife,protect_mace,protect_taser,protect_whistle,protect_other,protect_other_text,protect_none,viol_throw,viol_push,viol_hit,viol_hitobj,viol_burn,viol_sa,viol_chokedrown,viol_knifegun,viol_stabshot,viol_none,perp_stranger,perp_school,perp_work,perp_neighbor,perp_friend,perp_relative,perp_lover,perp_partner,perp_other,perp_other_text,class,finalter,hispanic_binary,hispanic_detail,hispanic_other_text,white,black,amerind,asianind,chinese,filipino,japanese,korean,vietnamese,otherasian,hawaiian,guamcham,samoan,pacisland,otherrace,otherrace_text,discaff,marhomo,happy,health,mntlhlth,prtypref,prtypref_other_text,polviews,born,parborn,granborn,grade,diploma,coldegree,coldegree_type,earnrs,income06,dwelown,dwelown_other_text,cohort,firstord_fem,firstord_masc,thirdord_fem,thirdord_masc,sex,gender,gender_other_text,arrest,lockedup,rhhwork,famfinan,earnshh,cutahead,volchrty,givchrty,helpaway,carried,talkedto,hrdshp1,hrdshp4,hrdshp5,hrdshp7,partners,sexfreq,sexornt,sexsex18,cisgender,female,male,woman,man,gnlh,trans_direct,trans_indirect,polar1,polar3,crossgen1,crossgen3,notconven1,notconven3,married,fear_avg,protect_count,viol_count,race_count,race_detail,race_gss,goodhealth,health_3cat,educ,inc_cont,age,region_census,region_gss
2,986,no,yes,no,2,1.955,1,1.739,1,3.1689999,2,5.6360002,2,Spending too little,Spending the right amount,Spending too little,Spending too much,Spending too little,Spending too much,not very likely,married and living with spouse,no,no,no,no,no,no,no,yes,"unemployed, but NOT looking for work",0,4,Not at all afraid,4,4,4,no,no,no,no,no,no,no,,yes,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,yes,Mexican,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,hispanic...,very likely,Strongly agree,Pretty happy,Good,0,Democrat,,Slightly liberal,yes,yes,yes,12th,yes,no,,1,"$25,000-29,999",Paying rent,,1992,Very,Not at all,Very,Not at all,Female,Woman,,no,no,5,Pool the money,I have no income,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,No,No,No,No,1,About once a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,yes,3.2,0,0,1,Some other race,Another race(s),good/excellent,good,12,2.75,22,Pacific,West
3,485,no,no,yes,3,2.5120001,1,2.378,1,4.0799999,2,3.8340001,2,Spending the right amount,Spending too little,Spending too little,Spending too much,Spending too little,Spending the right amount,somewhat likely,no partner,no,yes,no,no,no,no,yes,no,,30,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,no,yes,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,somewhat likely,Strongly agree,Pretty happy,Good,0,Independent,,Moderate,yes,yes,yes,12th,yes,no,,5,"$50,000-59,999",Paying rent,,1992,1,4,Not at all,4,Male,Man,,no,no,2,,,Not at all in past year,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,,,,Yes,None,Not at all,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,4,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,2,0,1,White,White,good/excellent,good,12,5.5,22,South Atlantic,South
4,302,no,yes,yes,1,1.549,1,2.9300001,1,5.8909998,3,4.1170001,2,Spending too little,Spending too little,Spending too little,Spending the right amount,Spending the right amount,Spending the right amount,not very likely,married and living with spouse,no,no,no,no,no,no,yes,no,,20,1,Not at all afraid,Not at all afraid,1,1,yes,yes,no,yes,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,working class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Strongly agree,Pretty happy,Good,10,Independent,,Moderate,yes,yes,yes,12th,yes,no,,2,"$30,000-34,999",Paying rent,,1986,4,3,4,3,Female,Woman,,no,no,100,Pool the money,I have no income,At least once a week,At least once in the past year,At least once in the past year,At least once in the past year,At least once a month,At least once a month,No,No,No,No,1,2-3 times a month,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,1,1,SR conforming,RA conforming,SR conforming,RA conforming,yes,.60000002,3,0,1,White,White,good/excellent,good,12,3.25,28,South Atlantic,South
5,428,no,no,yes,3,2.6800001,1,2.2739999,1,6.7750001,2,6.2950001,2,Spending too little,Spending the right amount,Spending the right amount,Spending too much,Spending too little,Spending too much,not very likely,living with partner,yes,no,no,no,no,no,yes,no,,0,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,yes,yes,no,yes,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,upper class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Very happy,Excellent,2,Republican,,Conservative,yes,yes,yes,12th,yes,yes,Bachelor's,4,"$110,000-129,999",Paying rent,,1991,5,1,5,1,Female,Woman,,no,no,2,Keep money separate,Spouse/partner has higher income,At least once in the past year,Not at all in past year,Not at all in past year,At least once a month,Not at all in past year,At least once in the past year,,,,,1,2-3 times a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,4,4,SR conforming,RA conforming,SR conforming,RA conforming,no,Not at all afraid,3,0,1,White,White,good/excellent,excellent,16,12,23,West South Central,South
6,799,no,yes,no,2,6.75,2,4.092,1,4.895,2,8.9329996,2,Spending too little,Spending too much,Spending the right amount,Spending too little,Spending too much,Spending too little,not very likely,living with partner,no,no,no,no,no,no,no,yes,working on mechanical turk,8,2,1,1,3,2,no,no,yes,yes,no,no,no,,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Agree,Pretty happy,Good,13,Independent,,Moderate,yes,yes,yes,10th,no,no,,1,"$3,000-3,999",Other,living in motel,1993,3,3,3,3,Female,Woman,,yes,yes,5,"Spouse/partner manages money, gives to me",I have no income,At least once a month,At least once in the past year,At least once in the past year,At least once in the past year,At least once a month,At least once a month,N/A,No,N/A,Yes,1,4 or more times a week,"Heterosexual, straight","Some women, mostly men",yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Not at all polar,Not at all polar,SR conforming,RA conforming,SR nonconforming,RA nonconforming,no,1.8,2,2,1,White,White,good/excellent,good,10,.34999999,21,West South Central,South
7,632,no,yes,no,2,5.691,1,4.5180001,1,8.2320004,2,10.917,2,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending the right amount,not very likely,no partner,no,no,no,yes,no,no,no,no,,0,Not at all afraid,Not at all afraid,Not at all afraid,2,Not at all afraid,yes,yes,yes,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Agree,Not too happy,Fair,0,Independent,,Liberal,yes,yes,yes,12th,yes,no,,0,"<$1,000",Own/buying,,1969,Not at all,Very,Not at all,Very,Male,Man,,yes,yes,10,,,At least once in the past year,Not at all in past year,Not at all in past year,At least once in the past year,Not at all in past year,Not at all in past year,No,No,No,No,None,Not at all,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,Very polar,SR conforming,RA conforming,SR conforming,RA conforming,no,.40000001,3,0,1,White,White,fair/poor,fair/poor,12,.050000001,45,East South Central,South
8,874,no,yes,no,2,4.0929999,1,4.6240001,2,10.779,2,12.131,3,Spending too little,Spending too much,Spending too little,Spending too much,Spending too little,Spending too little,not very likely,living with partner,no,yes,no,no,no,no,yes,no,,20,1,Not at all afraid,Not at all afraid,1,1,no,no,no,no,no,no,yes,heavy flashlight,no,no,yes,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,Hungarian...,somewhat likely,Strongly agree,Pretty happy,Poor,10,Independent,,Moderate,yes,yes,no,12th,yes,no,,1,"$5,000-5,999",Other,homeless,1992,4,4,5,1,Female,Woman,,no,no,14,Keep money separate,I have no income,At least once in the past year,At least once in the past year,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,N/A,Yes,Yes,Yes,1,About once a week,Bisexual,Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Not at all polar,4,SR conforming,RA conforming,SR nonconforming,RA conforming,no,.60000002,1,1,2,Multiracial,Another race(s),fair/poor,fair/poor,12,.55000001,22,Pacific,West
9,470,no,no,yes,3,6.2350001,1,3.0680001,1,5.6090002,2,4.5120001,2,Spending too little,Spending the right amount,Spending too little,Spending the right amount,Spending too much,Spending too little,somewhat likely,living with partner,no,yes,no,no,no,no,yes,no,,41,Not at all afraid,Not at all afraid,Not at all afraid,Not at all afraid,1,no,yes,no,no,no,no,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,getting better,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,very likely,Strongly agree,Pretty happy,Good,1,Independent,,Extremely conservative,yes,yes,yes,12th,yes,no,,3,"$75,000-89,999",Own/buying,,1995,Very,Not at all,5,Not at all,Female,Woman,,no,no,12,Pool the money,Spouse/partner has higher income,At least once a month,Not at all in past year,At least once a month,At least once a month,Not at all in past year,At least once a month,,,,,1,4 or more times a week,"Heterosexual, straight",Only men,yes,female,female,woman,"woman, transgender, or a gender not listed","woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,5,SR conforming,RA conforming,SR conforming,RA conforming,no,.2,1,0,1,White,White,good/excellent,good,12,8.25,19,East North Central,Midwest
11,387,no,yes,yes,1,2.46,1,1.852,1,7.6370001,2,4.6269999,2,Spending too little,Spending the right amount,Spending too little,Spending the right amount,Spending the right amount,Spending the right amount,not very likely,no partner,no,no,no,yes,no,no,no,no,,20,Not at all afraid,Not at all afraid,Not at all afraid,1,Not at all afraid,yes,no,no,no,no,no,yes,Baseball bat,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,middle class,stayed the same,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,12,Democrat,,Liberal,yes,yes,yes,12th,yes,yes,Bachelor's,2,"$60,000-74,999",Paying rent,,1990,2,5,1,4,Male,Man,,no,no,25,,,At least once in the past year,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,No,No,No,No,3,2-3 times a month,"Heterosexual, straight",Only women,yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,3,3,SR conforming,RA conforming,SR conforming,RA conforming,no,.2,2,0,1,White,White,good/excellent,good,16,6.75,24,Pacific,West
12,517,yes,yes,yes,5,3.7579999,1,6.947,2,5.8829999,2,8.8809996,2,Spending too little,Spending too much,Spending too little,Spending too little,Spending too little,Spending too much,somewhat likely,no partner,yes,no,no,no,no,no,no,no,,52,Not at all afraid,Not at all afraid,Not at all afraid,1,Not at all afraid,no,no,yes,no,no,yes,no,,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,,,,,lower class,getting worse,no,Not Hispanic,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,...,not very likely,Strongly agree,Pretty happy,Good,0,Independent,,Moderate,yes,yes,yes,12th,yes,no,,1,"$10,000-12,499",Other,Live on a boat that I own,1954,Not at all,Very,Not at all,5,Male,Man,,no,no,10,,,At least once a week,Not at all in past year,Not at all in past year,Not at all in past year,At least once in the past year,At least once in the past year,N/A,Yes,Yes,No,None,4 or more times a week,Bisexual,"Some men, mostly women",yes,male,male,"man, transgender, or a gender not listed",man,"woman, man, or transgender","woman, man, or a gender not listed",0,Very polar,5,SR conforming,RA conforming,SR conforming,RA conforming,no,.2,2,0,1,White,White,good/excellent,good,12,1.125,60,South Atlantic,South
